id,region_type,region,n_el,bilingual_content,twi_dual_content,integrated_esl,push_pull_esl,mono_para,bilingual_para,sheltered_content,other_instruct,tutoring,summer,credit_recovery,mentoring,distance_ed,other,acad_info_primary,cte_info_primary,translation_primary,interpreter_primary,receiving_content_primary,receiving_instruct_support_primary,acad_info_other,cte_info_other,translation_other,interpreter_other,receiving_content_other,receiving_instruct_support_other,resource_score,instruct_score,language_support_score,noninstruct_service_score,hs_parent_service_score,resource_score_c,instruct_score_c,language_support_score_c,noninstruct_service_score_c,hs_parent_service_score_c,bilingual_content_score,bilingual_content_score_c
97,suburb,west,100+,no,no,yes,no,yes,yes,yes,no,yes,no,no,no,no,no,yes,no,yes,yes,no students,few students,none,none,some languages,some languages,no students,no students,9,4,1,3,1,0.766149870801034,1.0594315245478,-0.143841515934539,0.0947459086993971,-0.244186046511628,3,0.89405684754522
98,suburb,northeast,11-100,no,no,yes,yes,yes,yes,no,no,no,no,no,no,no,no,no,no,yes,yes,few students,few students,none,none,some languages,all languages,no students,few students,7.5,4,0,2,1.5,-0.733850129198967,1.0594315245478,-1.14384151593454,-0.905254091300603,0.255813953488372,3,0.89405684754522
99,suburb,west,100+,no,no,yes,no,no,no,yes,no,yes,yes,no,no,no,no,yes,no,yes,yes,no students,few students,some languages,none,none,none,no students,no students,7.5,2,2,3,0.5,-0.733850129198967,-0.940568475452197,0.856158484065461,0.0947459086993971,-0.744186046511628,1.5,-0.60594315245478
100,town,central,11-100,no,no,yes,yes,yes,yes,yes,no,yes,no,no,no,no,no,no,no,yes,yes,no students,some students,none,none,some languages,some languages,no students,no students,9,5,1,2,1,0.766149870801034,2.0594315245478,-0.143841515934539,-0.905254091300603,-0.244186046511628,3.5,1.39405684754522
101,town,southeast,11-100,no,no,yes,yes,no,no,no,no,no,no,no,no,no,no,no,no,yes,yes,no students,no students,none,none,some languages,some languages,no students,no students,5,2,0,2,1,-3.23385012919897,-0.940568475452197,-1.14384151593454,-0.905254091300603,-0.244186046511628,1.5,-0.60594315245478
102,rural,southeast,11-100,no,no,yes,yes,no,yes,no,no,no,no,no,no,no,no,yes,yes,yes,yes,no students,no students,all languages,all languages,all languages,all languages,no students,no students,11,3,0,4,4,2.76614987080103,0.0594315245478034,-1.14384151593454,1.0947459086994,2.75581395348837,2.5,0.39405684754522
103,suburb,northeast,1-10,no,no,yes,yes,no,no,no,no,yes,yes,yes,yes,yes,no,yes,yes,yes,yes,few students,few students,,,,,,,11,2,5,4,0,2.76614987080103,-0.940568475452197,3.85615848406546,1.0947459086994,-1.24418604651163,1.5,-0.60594315245478
104,town,central,1-10,no,no,yes,yes,no,no,no,no,no,no,no,no,no,no,no,no,yes,yes,no students,no students,none,none,all languages,all languages,few students,no students,6,2,0,2,2,-2.23385012919897,-0.940568475452197,-1.14384151593454,-0.905254091300603,0.755813953488372,1.5,-0.60594315245478
105,town,west,1-10,yes,no,no,yes,no,no,no,no,no,no,no,no,no,no,yes,yes,yes,no,no students,no students,some languages,some languages,some languages,none,no students,no students,6.5,2,0,3,1.5,-1.73385012919897,-0.940568475452197,-1.14384151593454,0.0947459086993971,0.255813953488372,1.5,-0.60594315245478
106,rural,central,1-10,no,no,no,no,yes,no,no,no,yes,no,no,no,no,no,no,no,yes,no,no students,no students,none,none,none,none,no students,no students,3,1,1,1,0,-5.23385012919897,-1.9405684754522,-0.143841515934539,-1.9052540913006,-1.24418604651163,0.5,-1.60594315245478
107,suburb,southeast,100+,no,no,yes,yes,no,no,no,no,yes,yes,no,no,no,no,no,no,yes,yes,no students,few students,some languages,none,all languages,all languages,no students,no students,8.5,2,2,2,2.5,0.266149870801033,-0.940568475452197,0.856158484065461,-0.905254091300603,1.25581395348837,1.5,-0.60594315245478
108,suburb,central,11-100,no,no,no,yes,no,yes,no,no,no,no,no,no,no,no,no,no,no,yes,no students,most or all students,none,none,none,all languages,no students,few students,4,2,0,1,1,-4.23385012919897,-0.940568475452197,-1.14384151593454,-1.9052540913006,-0.244186046511628,1.5,-0.60594315245478
109,suburb,southeast,11-100,no,no,no,yes,no,no,no,yes,yes,no,no,no,no,no,yes,yes,yes,yes,no students,few students,none,none,some languages,some languages,no students,no students,8,2,1,4,1,-0.233850129198967,-0.940568475452197,-0.143841515934539,1.0947459086994,-0.244186046511628,1,-1.10594315245478
110,rural,northeast,1-10,no,no,yes,yes,yes,no,yes,no,yes,no,no,yes,no,no,no,no,yes,yes,no students,most or all students,none,none,some languages,some languages,no students,most or all students,9,4,2,2,1,0.766149870801034,1.0594315245478,0.856158484065461,-0.905254091300603,-0.244186046511628,2.5,0.39405684754522
111,rural,central,1-10,no,no,no,no,yes,no,no,no,yes,no,no,no,no,no,yes,yes,yes,yes,no students,no students,,,,,,,6,1,1,4,0,-2.23385012919897,-1.9405684754522,-0.143841515934539,1.0947459086994,-1.24418604651163,0.5,-1.60594315245478
112,town,west,1-10,no,no,yes,yes,no,no,yes,no,no,no,no,no,no,no,no,no,yes,yes,no students,few students,none,none,none,none,no students,no students,5,3,0,2,0,-3.23385012919897,0.0594315245478034,-1.14384151593454,-0.905254091300603,-1.24418604651163,2,-0.10594315245478
113,suburb,central,1-10,no,no,no,no,no,no,yes,no,no,no,no,no,no,no,no,no,no,no,no students,few students,none,none,none,none,no students,no students,1,1,0,0,0,-7.23385012919897,-1.9405684754522,-1.14384151593454,-2.9052540913006,-1.24418604651163,0.5,-1.60594315245478
114,city,southeast,100+,no,no,yes,yes,no,no,yes,no,yes,no,no,no,no,no,yes,yes,yes,yes,no students,few students,some languages,some languages,some languages,some languages,no students,no students,10,3,1,4,2,1.76614987080103,0.0594315245478034,-0.143841515934539,1.0947459086994,0.755813953488372,2,-0.10594315245478
115,town,west,11-100,no,no,no,yes,yes,yes,yes,no,no,no,no,no,no,no,yes,yes,yes,yes,no students,few students,some languages,some languages,some languages,some languages,no students,no students,10,4,0,4,2,1.76614987080103,1.0594315245478,-1.14384151593454,1.0947459086994,0.755813953488372,2.5,0.39405684754522
116,rural,west,1-10,no,no,yes,yes,no,yes,yes,no,yes,yes,yes,no,no,no,no,no,yes,yes,most or all students,most or all students,,,,,,,9,4,3,2,0,0.766149870801034,1.0594315245478,1.85615848406546,-0.905254091300603,-1.24418604651163,3,0.89405684754522
117,rural,central,1-10,no,no,no,yes,no,yes,no,no,yes,yes,no,yes,no,no,no,no,yes,yes,no students,few students,some languages,some languages,some languages,all languages,no students,no students,9.5,2,3,2,2.5,1.26614987080103,-0.940568475452197,1.85615848406546,-0.905254091300603,1.25581395348837,1.5,-0.60594315245478
118,town,west,11-100,no,no,yes,yes,no,no,no,no,yes,no,no,no,no,no,yes,yes,yes,yes,no students,no students,,,,,,,7,2,1,4,0,-1.23385012919897,-0.940568475452197,-0.143841515934539,1.0947459086994,-1.24418604651163,1.5,-0.60594315245478
119,town,west,1-10,no,no,no,no,yes,yes,no,no,no,no,no,no,no,no,no,no,yes,no,no students,no students,none,none,some languages,none,no students,no students,3.5,2,0,1,0.5,-4.73385012919897,-0.940568475452197,-1.14384151593454,-1.9052540913006,-0.744186046511628,1.5,-0.60594315245478
120,suburb,central,100+,no,no,yes,yes,yes,yes,yes,no,yes,yes,yes,no,no,no,no,no,yes,yes,some students,no students,none,none,all languages,all languages,some students,no students,12,5,3,2,2,3.76614987080103,2.0594315245478,1.85615848406546,-0.905254091300603,0.755813953488372,3.5,1.39405684754522
121,town,central,11-100,no,no,yes,yes,no,yes,yes,no,no,no,no,no,no,no,yes,yes,yes,yes,no students,no students,some languages,some languages,some languages,some languages,no students,no students,10,4,0,4,2,1.76614987080103,1.0594315245478,-1.14384151593454,1.0947459086994,0.755813953488372,3,0.89405684754522
122,suburb,northeast,11-100,no,no,yes,yes,no,no,no,no,yes,yes,no,no,no,no,no,no,yes,yes,no students,no students,none,none,all languages,all languages,no students,no students,8,2,2,2,2,-0.233850129198967,-0.940568475452197,0.856158484065461,-0.905254091300603,0.755813953488372,1.5,-0.60594315245478
123,city,central,100+,no,yes,yes,yes,yes,yes,yes,no,yes,yes,no,no,no,no,yes,yes,yes,yes,few students,most or all students,some languages,some languages,some languages,some languages,no students,some students,14,6,2,4,2,5.76614987080103,3.0594315245478,0.856158484065461,1.0947459086994,0.755813953488372,4.5,2.39405684754522
124,town,west,1-10,no,no,no,no,yes,no,no,no,yes,no,no,yes,no,no,yes,yes,yes,yes,no students,no students,,,,,,,7,1,2,4,0,-1.23385012919897,-1.9405684754522,0.856158484065461,1.0947459086994,-1.24418604651163,0.5,-1.60594315245478
125,suburb,west,11-100,yes,no,yes,yes,yes,no,yes,no,yes,no,no,no,no,no,yes,no,yes,yes,some students,some students,some languages,none,some languages,all languages,no students,no students,11,5,1,3,2,2.76614987080103,2.0594315245478,-0.143841515934539,0.0947459086993971,0.755813953488372,3.5,1.39405684754522
126,suburb,central,11-100,no,no,yes,yes,yes,no,yes,no,yes,no,no,no,no,no,yes,no,yes,yes,no students,no students,all languages,none,all languages,all languages,no students,no students,11,4,1,3,3,2.76614987080103,1.0594315245478,-0.143841515934539,0.0947459086993971,1.75581395348837,2.5,0.39405684754522
127,rural,central,1-10,no,no,yes,no,no,no,no,no,no,no,no,no,no,no,no,no,yes,yes,no students,no students,,,,,,,3,1,0,2,0,-5.23385012919897,-1.9405684754522,-1.14384151593454,-0.905254091300603,-1.24418604651163,1,-1.10594315245478
128,suburb,central,100+,no,no,yes,yes,yes,no,no,no,no,no,no,no,no,no,no,no,yes,yes,no students,no students,none,none,all languages,all languages,no students,no students,7,3,0,2,2,-1.23385012919897,0.0594315245478034,-1.14384151593454,-0.905254091300603,0.755813953488372,2,-0.10594315245478
129,city,northeast,1-10,no,no,yes,yes,no,no,yes,yes,yes,no,no,no,no,no,no,no,yes,yes,no students,no students,none,none,all languages,all languages,no students,no students,9,4,1,2,2,0.766149870801034,1.0594315245478,-0.143841515934539,-0.905254091300603,0.755813953488372,2.5,0.39405684754522
130,rural,northeast,1-10,no,no,yes,yes,no,no,yes,yes,yes,no,no,no,no,no,yes,no,yes,yes,most or all students,no students,,,,,,,8,4,1,3,0,-0.233850129198967,1.0594315245478,-0.143841515934539,0.0947459086993971,-1.24418604651163,2.5,0.39405684754522
131,town,central,1-10,no,no,yes,yes,no,no,no,no,yes,no,no,no,no,no,yes,yes,yes,yes,some students,some students,none,none,all languages,all languages,no students,no students,9,2,1,4,2,0.766149870801034,-0.940568475452197,-0.143841515934539,1.0947459086994,0.755813953488372,1.5,-0.60594315245478
132,suburb,west,100+,no,no,yes,yes,yes,yes,yes,no,yes,yes,no,yes,no,no,yes,yes,yes,yes,few students,some students,some languages,some languages,some languages,some languages,no students,some students,14,5,3,4,2,5.76614987080103,2.0594315245478,1.85615848406546,1.0947459086994,0.755813953488372,3.5,1.39405684754522
133,town,west,11-100,no,no,yes,no,yes,no,yes,no,no,no,no,no,no,no,no,no,yes,yes,no students,few students,none,none,all languages,all languages,no students,no students,7,3,0,2,2,-1.23385012919897,0.0594315245478034,-1.14384151593454,-0.905254091300603,0.755813953488372,2,-0.10594315245478
134,city,west,100+,no,no,yes,yes,yes,yes,yes,no,yes,no,no,no,no,no,yes,yes,yes,yes,few students,some students,some languages,some languages,some languages,some languages,no students,some students,12,5,1,4,2,3.76614987080103,2.0594315245478,-0.143841515934539,1.0947459086994,0.755813953488372,3.5,1.39405684754522
135,suburb,west,11-100,no,no,yes,yes,no,yes,yes,no,no,no,no,no,no,no,yes,yes,yes,yes,few students,few students,,,,,,,8,4,0,4,0,-0.233850129198967,1.0594315245478,-1.14384151593454,1.0947459086994,-1.24418604651163,3,0.89405684754522
136,city,central,11-100,no,no,yes,yes,yes,yes,no,no,yes,no,no,no,no,no,no,no,yes,yes,no students,some students,some languages,some languages,all languages,all languages,no students,few students,10,4,1,2,3,1.76614987080103,1.0594315245478,-0.143841515934539,-0.905254091300603,1.75581395348837,3,0.89405684754522
137,town,central,11-100,no,no,no,yes,yes,no,no,no,no,yes,no,no,no,no,no,no,yes,yes,no students,few students,none,none,some languages,some languages,no students,few students,6,2,1,2,1,-2.23385012919897,-0.940568475452197,-0.143841515934539,-0.905254091300603,-0.244186046511628,1,-1.10594315245478
138,suburb,central,11-100,no,no,yes,no,no,no,no,yes,yes,no,no,no,no,no,no,no,yes,yes,no students,no students,none,none,all languages,all languages,no students,no students,7,2,1,2,2,-1.23385012919897,-0.940568475452197,-0.143841515934539,-0.905254091300603,0.755813953488372,1.5,-0.60594315245478
139,suburb,southeast,1-10,no,no,no,yes,no,no,no,no,no,no,no,no,no,no,no,no,no,no,some students,some students,none,none,none,none,no students,few students,1,1,0,0,0,-7.23385012919897,-1.9405684754522,-1.14384151593454,-2.9052540913006,-1.24418604651163,0.5,-1.60594315245478
140,suburb,southeast,100+,no,no,yes,yes,no,no,no,no,yes,no,yes,yes,no,no,no,no,yes,yes,no students,no students,none,none,some languages,some languages,no students,no students,8,2,3,2,1,-0.233850129198967,-0.940568475452197,1.85615848406546,-0.905254091300603,-0.244186046511628,1.5,-0.60594315245478
141,town,west,1-10,yes,no,yes,yes,yes,no,no,no,no,no,no,no,no,no,yes,yes,yes,yes,some students,some students,all languages,all languages,all languages,all languages,few students,few students,12,4,0,4,4,3.76614987080103,1.0594315245478,-1.14384151593454,1.0947459086994,2.75581395348837,3,0.89405684754522
142,rural,west,11-100,no,no,yes,no,yes,no,yes,no,yes,yes,yes,yes,no,no,no,no,no,yes,few students,no students,none,none,none,all languages,no students,no students,9,3,4,1,1,0.766149870801034,0.0594315245478034,2.85615848406546,-1.9052540913006,-0.244186046511628,2,-0.10594315245478
143,suburb,west,11-100,no,no,yes,no,no,no,yes,no,no,no,no,no,no,no,no,yes,yes,yes,no students,few students,none,none,all languages,all languages,no students,few students,7,2,0,3,2,-1.23385012919897,-0.940568475452197,-1.14384151593454,0.0947459086993971,0.755813953488372,1.5,-0.60594315245478
144,suburb,west,100+,no,no,yes,yes,yes,yes,yes,no,no,yes,no,no,no,no,no,no,yes,no,no students,no students,none,none,none,none,no students,no students,7,5,1,1,0,-1.23385012919897,2.0594315245478,-0.143841515934539,-1.9052540913006,-1.24418604651163,3.5,1.39405684754522
145,suburb,central,11-100,no,no,yes,yes,no,no,no,no,no,no,no,no,no,no,no,no,yes,yes,no students,no students,none,none,some languages,some languages,no students,no students,5,2,0,2,1,-3.23385012919897,-0.940568475452197,-1.14384151593454,-0.905254091300603,-0.244186046511628,1.5,-0.60594315245478
146,suburb,southeast,100+,no,no,yes,no,no,no,yes,yes,no,yes,no,no,no,no,yes,yes,yes,yes,few students,some students,some languages,some languages,all languages,all languages,few students,some students,11,3,1,4,3,2.76614987080103,0.0594315245478034,-0.143841515934539,1.0947459086994,1.75581395348837,2,-0.10594315245478
147,town,west,1-10,no,no,no,yes,no,yes,no,no,no,no,no,no,no,no,no,no,yes,yes,no students,few students,none,none,some languages,none,no students,no students,4.5,2,0,2,0.5,-3.73385012919897,-0.940568475452197,-1.14384151593454,-0.905254091300603,-0.744186046511628,1.5,-0.60594315245478
148,rural,northeast,1-10,no,no,no,yes,no,no,no,no,no,no,no,no,no,no,yes,yes,yes,yes,few students,no students,,,,,,,5,1,0,4,0,-3.23385012919897,-1.9405684754522,-1.14384151593454,1.0947459086994,-1.24418604651163,0.5,-1.60594315245478
149,suburb,west,100+,no,no,yes,no,yes,yes,yes,no,yes,yes,no,yes,no,no,yes,no,yes,yes,some students,some students,some languages,none,some languages,some languages,some students,some students,11.5,4,3,3,1.5,3.26614987080103,1.0594315245478,1.85615848406546,0.0947459086993971,0.255813953488372,3,0.89405684754522
150,town,west,11-100,no,no,yes,yes,yes,no,no,no,no,no,no,no,no,no,no,no,no,yes,no students,no students,none,none,none,some languages,no students,no students,4.5,3,0,1,0.5,-3.73385012919897,0.0594315245478034,-1.14384151593454,-1.9052540913006,-0.744186046511628,2,-0.10594315245478
151,rural,west,11-100,no,no,yes,yes,yes,no,no,no,yes,no,no,no,no,no,yes,yes,yes,yes,no students,no students,none,none,none,all languages,no students,no students,9,3,1,4,1,0.766149870801034,0.0594315245478034,-0.143841515934539,1.0947459086994,-0.244186046511628,2,-0.10594315245478
152,town,southeast,1-10,no,no,no,yes,no,yes,yes,yes,yes,no,no,no,no,no,yes,yes,yes,yes,no students,some students,all languages,some languages,all languages,some languages,no students,no students,12,4,1,4,3,3.76614987080103,1.0594315245478,-0.143841515934539,1.0947459086994,1.75581395348837,2.5,0.39405684754522
153,suburb,northeast,100+,yes,no,yes,yes,no,yes,no,no,yes,yes,yes,no,no,no,yes,yes,yes,yes,most or all students,most or all students,all languages,all languages,all languages,all languages,no students,no students,15,4,3,4,4,6.76614987080103,1.0594315245478,1.85615848406546,1.0947459086994,2.75581395348837,3.5,1.39405684754522
154,suburb,northeast,11-100,no,no,yes,yes,no,no,no,no,no,yes,no,no,no,no,yes,yes,yes,yes,no students,no students,all languages,all languages,all languages,all languages,no students,no students,11,2,1,4,4,2.76614987080103,-0.940568475452197,-0.143841515934539,1.0947459086994,2.75581395348837,1.5,-0.60594315245478
155,suburb,central,11-100,no,no,yes,no,no,no,no,no,yes,no,no,no,no,no,yes,no,yes,yes,no students,few students,all languages,none,all languages,all languages,no students,no students,8,1,1,3,3,-0.233850129198967,-1.9405684754522,-0.143841515934539,0.0947459086993971,1.75581395348837,1,-1.10594315245478
