id,region_type,region,n_el,bilingual_content,twi_dual_content,integrated_esl,push_pull_esl,mono_para,bilingual_para,sheltered_content,other_instruct,tutoring,summer,credit_recovery,mentoring,distance_ed,other,acad_info_primary,cte_info_primary,translation_primary,interpreter_primary,receiving_content_primary,receiving_instruct_support_primary,acad_info_other,cte_info_other,translation_other,interpreter_other,receiving_content_other,receiving_instruct_support_other,resource_score,instruct_score,language_support_score,noninstruct_service_score,hs_parent_service_score,resource_score_c,instruct_score_c,language_support_score_c,noninstruct_service_score_c,hs_parent_service_score_c,bilingual_content_score,bilingual_content_score_c
860,rural,southeast,11-100,no,no,yes,no,no,no,no,no,yes,no,no,no,no,no,yes,no,yes,yes,no students,no students,none,none,none,none,no students,no students,5,1,1,3,0,-3.23385012919897,-1.9405684754522,-0.143841515934539,0.0947459086993971,-1.24418604651163,1,-1.10594315245478
861,city,west,100+,no,no,yes,no,no,yes,yes,no,no,no,no,no,no,no,yes,no,yes,yes,no students,few students,none,none,some languages,some languages,no students,no students,7,3,0,3,1,-1.23385012919897,0.0594315245478034,-1.14384151593454,0.0947459086993971,-0.244186046511628,2.5,0.39405684754522
862,suburb,west,11-100,no,yes,no,no,no,no,no,no,yes,no,no,yes,no,no,yes,yes,yes,yes,most or all students,no students,,,,,,,7,1,2,4,0,-1.23385012919897,-1.9405684754522,0.856158484065461,1.0947459086994,-1.24418604651163,1,-1.10594315245478
863,city,west,11-100,no,no,no,yes,no,yes,no,no,yes,no,no,no,no,no,yes,no,yes,yes,no students,few students,some languages,none,all languages,all languages,no students,no students,8.5,2,1,3,2.5,0.266149870801033,-0.940568475452197,-0.143841515934539,0.0947459086993971,1.25581395348837,1.5,-0.60594315245478
864,suburb,southeast,100+,no,no,yes,yes,no,no,yes,no,yes,no,no,no,no,no,no,no,yes,yes,no students,no students,some languages,none,some languages,some languages,no students,no students,7.5,3,1,2,1.5,-0.733850129198967,0.0594315245478034,-0.143841515934539,-0.905254091300603,0.255813953488372,2,-0.10594315245478
865,city,southeast,1-10,no,no,no,yes,no,no,no,yes,yes,no,no,no,no,no,yes,yes,yes,yes,some students,few students,all languages,all languages,all languages,some languages,most or all students,most or all students,10.5,2,1,4,3.5,2.26614987080103,-0.940568475452197,-0.143841515934539,1.0947459086994,2.25581395348837,1,-1.10594315245478
866,rural,central,1-10,no,no,no,no,yes,no,no,no,no,no,no,no,no,no,yes,yes,no,no,no students,no students,none,none,none,none,no students,no students,3,1,0,2,0,-5.23385012919897,-1.9405684754522,-1.14384151593454,-0.905254091300603,-1.24418604651163,0.5,-1.60594315245478
867,suburb,central,100+,yes,no,yes,no,no,yes,yes,no,no,no,no,no,no,no,yes,yes,yes,yes,few students,few students,none,none,some languages,some languages,few students,few students,9,4,0,4,1,0.766149870801034,1.0594315245478,-1.14384151593454,1.0947459086994,-0.244186046511628,3.5,1.39405684754522
868,suburb,northeast,11-100,no,no,yes,no,no,no,yes,no,yes,no,no,no,no,no,no,no,yes,yes,no students,no students,none,none,some languages,some languages,no students,no students,6,2,1,2,1,-2.23385012919897,-0.940568475452197,-0.143841515934539,-0.905254091300603,-0.244186046511628,1.5,-0.60594315245478
869,town,west,11-100,no,no,no,yes,yes,no,yes,no,no,no,no,no,no,no,no,no,yes,yes,no students,most or all students,none,none,none,none,no students,no students,5,3,0,2,0,-3.23385012919897,0.0594315245478034,-1.14384151593454,-0.905254091300603,-1.24418604651163,1.5,-0.60594315245478
